sample,fastq_1
SRR13010552_BE2C_1_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/novogene/SRR13010552_BE2C_1_50k.fastq.gz
SRR13010554_HepG2_1_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/novogene/SRR13010554_HepG2_1_50k.fastq.gz
