sample,fastq_1
SRR25601484_D341_rep1_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/nextflexV4/SRR25601484_D341_rep1_50k.fastq.gz
SRR25601482_D425_rep2_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/nextflexV4/SRR25601482_D425_rep2_50k.fastq.gz
