sample,fastq_1
SRR28446405_MM-17-150_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/trilink/SRR28446405_MM-17-150_50k.fastq.gz
SRR28446406_MM-17-46_50k,https://raw.githubusercontent.com/ktrachtova/test_data/f4ee7740cf70acf15e086acc7135b78581c8f49c/perseqpipe/trilink/SRR28446406_MM-17-46_50k.fastq.gz
